Car,Purchase price,Sale price,Transport time,Country
1,11525,24108,"0"" 14ays""",Germany
2,21735,48811,"0"" 31ays""",Finland
3,22640,59670,"0"" 20ays""",Slovenia
4,6491,13091,"0"" 17ays""",Luxembourg
5,11189,20356,"0"" 11ays""",Croatia
6,18444,33234,"0"" 09ays""",Luxembourg
7,9529,26315,"0"" 17ays""",Hungary
8,10368,22634,"0"" 06ays""",Slovenia
9,5243,11094,"0"" 21ays""",Hungary
10,9030,28896,"0"" 13ays""",Belgium
11,7022,16248,"0"" 16ays""",Malta
12,10284,28166,"0"" 11ays""",Portugal
13,17017,41073,"0"" 15ays""",France
14,20120,47902,"0"" 21ays""",Slovenia
15,19178,28136,"0"" 14ays""",Denmark
16,28426,84130,"0"" 12ays""",Malta
17,7337,15849,"0"" 11ays""",Denmark
18,11299,27911,"0"" 12ays""",Hungary
19,25329,38725,"0"" 11ays""",Ireland
20,5806,9978,"0"" 10ays""",Portugal
21,27628,60128,"0"" 17ays""",Denmark
22,15599,34854,"0"" 17ays""",Greece
23,24722,64943,"0"" 14ays""",Luxembourg
24,7449,20231,"0"" 08ays""",Spain
25,13473,17710,"0"" 10ays""",France
26,23094,66301,"0"" 11ays""",Luxembourg
27,18506,34462,"0"" 10ays""",Sweden
28,24458,63178,"0"" 20ays""",Croatia
29,24443,60235,"0"" 11ays""",The Netherlands
30,17743,30827,"0"" 17ays""",Denmark
31,11212,29910,"0"" 22ays""",Poland
32,29684,43244,"0"" 10ays""",Croatia
33,5328,6797,"0"" 10ays""",Spain
34,10769,20200,"0"" 19ays""",Finland
35,20047,46540,"0"" 16ays""",The Netherlands
36,27655,41878,"0"" 20ays""",Denmark
37,14445,42043,"0"" 02ays""",The Netherlands
38,22124,48086,"0"" 01ays""",France
39,17111,50593,"0"" 05ays""",Denmark
40,24943,35313,"0"" 22ays""",Latvia
41,8515,21275,"0"" 11ays""",Bulgaria
42,17633,22221,"0"" 18ays""",Portugal
43,22470,60308,"0"" 21ays""",Finland
44,29468,66789,"0"" 12ays""",Luxembourg
45,28570,49440,"0"" 21ays""",Ireland
46,23373,28069,"0"" 18ays""",The Netherlands
47,9767,30184,"0"" 10ays""",Slovenia
48,5774,18143,"0"" 18ays""",Ireland
49,10904,17755,"0"" 08ays""",Czech Republic
50,26779,79699,"0"" 20ays""",Slovakia
51,18125,54610,"0"" 09ays""",Belgium
52,19641,34988,"0"" 06ays""",Poland
53,28284,39805,"0"" 01ays""",Belgium
54,16160,32590,"0"" 18ays""",Slovenia
55,28964,69472,"0"" 03ays""",Greece
56,11362,31831,"0"" 07ays""",Ireland
57,21188,46189,"0"" 31ays""",Sweden
58,22096,36486,"0"" 11ays""",Greece
59,5332,8046,"0"" 02ays""",Finland
60,21063,65993,"0"" 12ays""",Germany
61,6399,19840,"0"" 14ays""",Estonia
62,20446,36594,"0"" 31ays""",Malta
63,18664,54535,"0"" 22ays""",Lithuania
64,7729,19024,"0"" 14ays""",Germany
65,20424,31472,"0"" 07ays""",Poland
66,19490,52334,"0"" 12ays""",Poland
67,27825,86427,"0"" 09ays""",Estonia
68,28666,62710,"0"" 08ays""",Slovakia
69,27922,39268,"0"" 18ays""",Italy
70,7944,24635,"0"" 05ays""",Malta
71,12344,16402,"0"" 13ays""",Portugal
72,17715,47343,"0"" 10ays""",Germany
73,15450,46109,"0"" 16ays""",Ireland
74,27425,34374,"0"" 11ays""",Spain
75,7661,15401,"0"" 19ays""",Portugal
76,6857,13174,"0"" 11ays""",Cyprus
77,16362,24712,"0"" 31ays""",Romania
78,10887,31910,"0"" 07ays""",Austria
79,8087,17855,"0"" 20ays""",Luxembourg
